-1.38618	495.371	6.10438
-1.29914	501.772	6.50292
-1.21003	508.072	6.50457
-1.1192	514.905	6.85423
-1.027	521.685	6.76236
-0.933806	528.79	7.9984	
-0.839977	537.129	8.67027	
-0.745885	544.984	7.56347	
-0.651902	552.825	6.43188	
-0.558399	560.118	6.45232	
-0.465746	567.614	6.72225	
-0.374307	575.656	6.56016	
-0.284444	582.581	5.8496	
-0.19651	588.745	5.48214	
-0.110855	597.145	6.958	
-0.0278142	601.38	7.49931	
0.0522837	609.02	5.64218	
0.129122	615.185	5.37986	
0.202398	620.878	5.4255	
0.271822	625.557	4.85682	
0.33712	630.562	5.03666	
0.398036	636.165	5.05181	
0.505775	651.673	8.79974	
0.552171	653.349	5.92286	
0.593337	654.089	4.96733	
0.722878	662.58	3.4368	
0.724096	662.936	3.76272	
0.719405	662.806	3.70251	
0.708821	662.639	1.53119	
0.692388	661.182	3.76441	
0.670168	659.149	3.80328	
0.642252	657.279	3.81623	
0.608747	655.06	3.69384	
0.569787	651.887	3.78946	
0.525526	648.548	3.78055	
0.476139	644.667	3.75594	
0.421819	640.107	3.74538	
0.362781	634.681	4.00771	
0.299259	629.757	3.23388	
0.159781	618.259	3.86471	
0.084375	613.652	5.47286	
-0.337046	579.102	3.73167	
-0.427877	572.392	4.24347	
-0.520075	564.5	4.52264	
-0.613271	556.842	4.02192	
-0.707102	549.031	3.42911	
-0.801193	541.336	3.49866	
-0.895176	533.848	3.59557	
-0.988679	526.18	3.70232	
-1.26263	504.446	3.35394	
-1.35057	496.984	3.33998	
-1.51926	483.698	3.57387	
-1.59936	477.031	3.17489	
-1.8189	459.056	3.22031	
-1.8842	453.689	3.16677	
-1.94512	449.04	3.19321	
-2.00141	444.602	3.19175	
-2.05285	440.337	3.10044	
-2.09925	434.999	4.87946	
-2.14042	432.116	4.80483	
-2.17619	429.875	5.90038	
-2.26996	421.26	3.8904	
-2.27117	421.387	4.09401	
-2.26648	421.325	4.28209	
-2.2559	422.262	4.99054	
-2.23947	423.776	5.25842	
-2.21725	426.307	5.24661	
-2.18933	428.728	5.66851	
-2.15583	431.913	5.95562	
-2.11687	435.441	5.59914	
-2.0726	438.949	4.98155	
-2.02322	442.593	5.33814	
-1.9689	446.929	5.58076	
-1.90986	451.642	5.33443	
-1.84634	456.62	4.83971	
-1.77858	461.707	4.90461	
-3.69141	308.474	-2.92267	
-3.85325	294.016	5.93189	
-4.00293	279.917	5.02861	
-4.13987	270.642	5.13818	
-4.26352	261.206	3.98187	
-4.3734	249.823	3.48339	
-4.46907	240.705	3.88983	
-4.55016	234.178	3.34533	
-4.61634	229.402	3.85214	
-4.66735	223.624	5.52711	
-4.703	223.17	3.03969	
-4.72314	221.585	3.19896	
-4.7277	220.202	3.82927	
-4.71665	222.67	3.96603	
-4.69003	223.262	4.6062	
-4.64796	226.408	4.81996	
-4.5906	228.99	6.98419	
-4.51818	235.507	5.92487	
-4.43098	244.049	5.97839	
-4.32934	251.451	7.93711	
-4.21367	263.15	6.9688	
-4.08442	270.872	7.42162	
-3.94211	282.93	7.90964	
-3.78729	298.585	7.83971	
-3.62058	310.736	6.447	
-3.44263	324.933	8.73054	
-3.25415	340.202	9.5555	
-0.269412	575.133	6.59119	
-0.183035	582.687	6.47541	
-0.098989	589.285	5.64467	
-0.0176054	595.86	6.05276	
0.0607943	602.593	6.59618	
0.135902	610.218	6.25967	
0.207421	616.026	6.35162	
0.275068	622.028	5.89088	
0.338577	627.181	5.73736	
0.397697	632.136	5.73676	
0.452193	637.795	5.70544	
0.501854	644.56	7.75752	
0.546481	647.155	5.40727	
0.619949	653.555	5.17538	
0.648502	656.605	5.10186	
0.671442	658.684	4.97536	
0.68868	660.702	4.78553	
0.700147	662.002	4.55698	
0.705798	663.49	3.98655	
0.202949	629.89	2.84579	
0.131192	625.192	2.56912	
-0.188507	600.466	3.66848	
-0.275021	593.36	3.25359	
-0.363502	586.443	3.17814	
-0.453602	579.697	3.49284	
-0.544965	572.119	3.08298	
-1.27767	511.695	3.24954	
-1.36404	504.427	3.72504	
-1.44809	496.891	3.51718	
-1.52947	489.772	3.37666	
-1.60787	483.529	3.55044	
-1.68298	476.756	3.52459	
-1.7545	470.685	3.59552	
-1.82215	464.306	3.41244	
-1.88566	458.692	3.33809	
-1.94477	453.347	3.18813	
-1.99927	448.359	3.52524	
-2.04893	443.965	3.72475	
-2.09356	440.305	3.53906	
-2.13298	436.831	3.48238	
-2.16703	432.393	3.90334	
-2.19558	429.351	4.07194	
-2.21852	426.334	4.28105	
-2.23576	423.967	4.46192	
-2.24723	422.184	4.37969	
-2.25288	421.176	4.12099	
-2.16501	440.332	3.07793	
-1.75003	437.961	-5.31702	
-1.67827	440.823	-6.87408	
-1.18358	499.601	6.42225	
-1.09348	507.486	6.3174	
3.00308	843.823	6.34211	
3.06926	848.588	5.53275	
3.12028	853.746	5.13846	
3.15592	857.176	5.05607	
3.17607	857.877	4.05504	
3.18062	860.241	4.8478	
3.16957	858.81	3.26973	
3.14296	857.646	3.28785	
3.10089	855.179	3.27715	
3.04353	852.075	3.39844	
2.9711	846.563	3.56299	
2.8839	839.86	4.05478	
2.78226	832.312	3.02631	
2.66659	823.715	3.79382	
2.53734	813.933	4.81578	
2.39503	801.651	5.03482	
2.24021	791.539	4.2476	
2.0735	777.147	5.29519	
1.89555	763.425	5.61253	
1.70707	746.937	5.6689
